k,recall,ancestral_recall,precision,reduction_rate,n_nodes,density,dataset
1,0.21739130434782608,0.1,0.4,0.957983193277311,35,0.0387,mildew
7,0.6956521739130435,0.1,0.2064516129032258,0.7394957983193278,35,0.0387,mildew
13,0.8695652173913043,0.1,0.14184397163120568,0.5260504201680672,35,0.0387,mildew
19,0.9782608695652174,0.1,0.11508951406649616,0.34285714285714286,35,0.0387,mildew
25,1.0,0.1,0.09181636726546906,0.15798319327731092,35,0.0387,mildew
31,1.0,0.1,0.08041958041958042,0.03865546218487395,35,0.0387,mildew
1,0.30434782608695654,0.1,0.5,0.9579579579579579,37,0.0345,alarm
7,0.782608695652174,0.1,0.21951219512195122,0.7537537537537538,37,0.0345,alarm
13,0.9347826086956522,0.1,0.14576271186440679,0.5570570570570571,37,0.0345,alarm
19,1.0,0.1,0.1108433734939759,0.3768768768768769,37,0.0345,alarm
25,1.0,0.1,0.08646616541353383,0.2012012012012012,37,0.0345,alarm
31,1.0,0.1,0.0733652312599681,0.05855855855855856,37,0.0345,alarm
1,0.09523809523809523,0.1,0.21052631578947367,0.9663120567375887,48,0.0372,barley
7,0.42857142857142855,0.1,0.16216216216216217,0.8031914893617021,48,0.0372,barley
13,0.6666666666666666,0.1,0.13592233009708737,0.6347517730496454,48,0.0372,barley
19,0.7619047619047619,0.1,0.10865874363327674,0.4778368794326241,48,0.0372,barley
25,0.8095238095238095,0.1,0.09090909090909091,0.33687943262411346,48,0.0372,barley
31,0.8809523809523809,0.1,0.08295964125560538,0.20921985815602837,48,0.0372,barley
37,0.9047619047619048,0.1,0.0745829244357213,0.09663120567375887,48,0.0372,barley
43,0.9642857142857143,0.1,0.07343608340888486,0.022163120567375887,48,0.0372,barley
1,0.10569105691056911,0.1,0.26,0.979296066252588,70,0.0255,hepar2
7,0.35772357723577236,0.1,0.13580246913580246,0.8658385093167702,70,0.0255,hepar2
13,0.4959349593495935,0.1,0.1020066889632107,0.7523809523809524,70,0.0255,hepar2
19,0.6016260162601627,0.1,0.08554913294797688,0.6418219461697723,70,0.0255,hepar2
25,0.7073170731707317,0.1,0.07712765957446809,0.5329192546583851,70,0.0255,hepar2
31,0.8373983739837398,0.1,0.07485465116279069,0.43022774327122154,70,0.0255,hepar2
37,0.8943089430894309,0.1,0.06828057107386716,0.33291925465838507,70,0.0255,hepar2
43,0.926829268292683,0.1,0.06212534059945504,0.2401656314699793,70,0.0255,hepar2
49,0.9512195121951219,0.1,0.057863501483679525,0.16273291925465838,70,0.0255,hepar2
55,0.991869918699187,0.1,0.055835240274599546,0.09523809523809523,70,0.0255,hepar2
61,1.0,0.1,0.05290322580645161,0.037267080745341616,70,0.0255,hepar2
67,1.0,0.1,0.051143451143451146,0.004140786749482402,70,0.0255,hepar2
1,0.09821428571428571,0.1,0.2,0.980701754385965,76,0.0196,win95pts
7,0.2857142857142857,0.1,0.09090909090909091,0.8764912280701754,76,0.0196,win95pts
13,0.4375,0.1,0.0768025078369906,0.776140350877193,76,0.0196,win95pts
19,0.5357142857142857,0.1,0.06615214994487321,0.6817543859649123,76,0.0196,win95pts
25,0.6428571428571429,0.1,0.061224489795918366,0.5873684210526315,76,0.0196,win95pts
31,0.7142857142857143,0.1,0.05578800557880056,0.4968421052631579,76,0.0196,win95pts
37,0.7589285714285714,0.1,0.05029585798816568,0.4070175438596491,76,0.0196,win95pts
43,0.8571428571428571,0.1,0.0495611770779556,0.32035087719298244,76,0.0196,win95pts
49,0.9196428571428571,0.1,0.047465437788018434,0.23859649122807017,76,0.0196,win95pts
55,0.9285714285714286,0.1,0.043532858936793636,0.1617543859649123,76,0.0196,win95pts
61,0.9553571428571429,0.1,0.041505042668735455,0.09543859649122807,76,0.0196,win95pts
67,0.9821428571428571,0.1,0.0402046783625731,0.04,76,0.0196,win95pts
73,0.9910714285714286,0.1,0.03912583715192104,0.004561403508771929,76,0.0196,win95pts
1,0.053156146179401995,0.1,0.10526315789473684,0.9964268083405816,413,0.0035,diabetes
7,0.16777408637873753,0.1,0.05456509994597515,0.9782434942053174,413,0.0035,diabetes
13,0.27906976744186046,0.1,0.05067873303167421,0.9610357554244341,413,0.0035,diabetes
19,0.420265780730897,0.1,0.05463182897862233,0.9455675967935306,413,0.0035,diabetes
25,0.5681063122923588,0.1,0.058833648718389815,0.9316744634335551,413,0.0035,diabetes
31,0.6960132890365448,0.1,0.05698354413164695,0.913573426737817,413,0.0035,diabetes
37,0.7524916943521595,0.1,0.050428587331626404,0.8944145372481722,413,0.0035,diabetes
43,0.7873754152823921,0.1,0.044582392776523705,0.8750323232798138,413,0.0035,diabetes
49,0.8338870431893688,0.1,0.040926137290070115,0.8558264181104398,413,0.0035,diabetes
55,0.8438538205980066,0.1,0.03625463888095918,0.8353040739086486,413,0.0035,diabetes
61,0.8538205980066446,0.1,0.03254812563323202,0.8143820964291592,413,0.0035,diabetes
67,0.8820598006644518,0.1,0.030263307876439074,0.7937657208679094,413,0.0035,diabetes
73,0.9003322259136213,0.1,0.028074173831969335,0.773078821787066,413,0.0035,diabetes
79,0.9235880398671097,0.1,0.026343219937458542,0.7519217659089307,413,0.0035,diabetes
85,0.9418604651162791,0.1,0.024793388429752067,0.7311996050682903,413,0.0035,diabetes
91,0.9584717607973422,0.1,0.023439086809928098,0.7106537530266344,413,0.0035,diabetes
97,0.9667774086378738,0.1,0.022120025844703736,0.6907426126613225,413,0.0035,diabetes
103,0.973421926910299,0.1,0.02094727435210009,0.6711840898939796,413,0.0035,diabetes
109,0.9767441860465116,0.1,0.019832703723691312,0.651519781847246,413,0.0035,diabetes
115,0.9817275747508306,0.1,0.018882392408703152,0.632114060039023,413,0.0035,diabetes
121,0.9833887043189369,0.1,0.01797316169773514,0.6128493852699876,413,0.0035,diabetes
127,0.9850498338870431,0.1,0.017151120751988432,0.5936082183408167,413,0.0035,diabetes
133,0.9900332225913622,0.1,0.016469547916436386,0.5746491454900209,413,0.0035,diabetes
139,0.9933554817275747,0.1,0.01582387340901273,0.5558076118385482,413,0.0035,diabetes
145,0.9950166112956811,0.1,0.015205747213972026,0.5369778321070077,413,0.0035,diabetes
151,0.9966777408637874,0.1,0.014637002341920375,0.5181833141352641,413,0.0035,diabetes
157,0.9966777408637874,0.1,0.01409377055341539,0.4996121206422342,413,0.0035,diabetes
163,0.9966777408637874,0.1,0.013590957482954674,0.48109969674886577,413,0.0035,diabetes
169,0.9966777408637874,0.1,0.013131401558259651,0.46293989045346623,413,0.0035,diabetes
175,0.9983388704318937,0.1,0.01271957671957672,0.44462728319894684,413,0.0035,diabetes
181,0.9983388704318937,0.1,0.012326182370072604,0.42690237194104236,413,0.0035,diabetes
187,0.9983388704318937,0.1,0.011953300582748265,0.40902465972401797,413,0.0035,diabetes
193,0.9983388704318937,0.1,0.011606573839825418,0.39137027198570723,413,0.0035,diabetes
199,0.9983388704318937,0.1,0.011291898391702991,0.37440936552340204,413,0.0035,diabetes
205,0.9983388704318937,0.1,0.01099665160192487,0.35761301394014905,413,0.0035,diabetes
211,0.9983388704318937,0.1,0.010717597546187316,0.3408871858764898,413,0.0035,diabetes
217,0.9983388704318937,0.1,0.010457812037794289,0.3245139754107995,413,0.0035,diabetes
223,0.9983388704318937,0.1,0.010219524222482953,0.30876372270152097,413,0.0035,diabetes
229,0.9983388704318937,0.1,0.009988698311394761,0.2927901455135288,413,0.0035,diabetes
235,1.0,0.1,0.009793873135178226,0.27752180352147443,413,0.0035,diabetes
241,1.0,0.1,0.00958965209634255,0.2621359223300971,413,0.0035,diabetes
247,1.0,0.1,0.0093923082923785,0.2466325019393968,413,0.0035,diabetes
253,1.0,0.1,0.009214896906427466,0.23212816474294176,413,0.0035,diabetes
259,1.0,0.1,0.009049501676112022,0.21809398434377866,413,0.0035,diabetes
265,1.0,0.1,0.008892696761994801,0.20430663626319379,413,0.0035,diabetes
271,1.0,0.1,0.00874085259612034,0.190484026422812,413,0.0035,diabetes
277,1.0,0.1,0.00860356433379543,0.17756646841721715,413,0.0035,diabetes
283,1.0,0.1,0.00847600810993467,0.16518959072850795,413,0.0035,diabetes
289,1.0,0.1,0.008357048656902894,0.15330637767695526,413,0.0035,diabetes
295,1.0,0.1,0.008244542441589744,0.1417522743835069,413,0.0035,diabetes
301,1.0,0.1,0.008137444409900108,0.13045675732856907,413,0.0035,diabetes
307,1.0,0.1,0.00803169986524889,0.11900843931451138,413,0.0035,diabetes
313,1.0,0.1,0.007933474782883726,0.10810080161733938,413,0.0035,diabetes
319,1.0,0.1,0.007841502650740514,0.09763981287759468,413,0.0035,diabetes
325,1.0,0.1,0.007754034802993418,0.0874609182162251,413,0.0035,diabetes
331,1.0,0.1,0.0076731884519788416,0.07784621171160581,413,0.0035,diabetes
337,1.0,0.1,0.00759506446973329,0.0683607983262418,413,0.0035,diabetes
343,1.0,0.1,0.007526411202100394,0.059862714215190765,413,0.0035,diabetes
349,1.0,0.1,0.0074603745058431335,0.051540938903124195,413,0.0035,diabetes
355,1.0,0.1,0.0073983949661418965,0.043595289028891135,413,0.0035,diabetes
361,1.0,0.1,0.007341105311936003,0.036131549871882274,413,0.0035,diabetes
367,1.0,0.1,0.007288753284176625,0.02920849103175909,413,0.0035,diabetes
373,1.0,0.1,0.007240537387392805,0.02274383506899551,413,0.0035,diabetes
379,1.0,0.1,0.007194760493355005,0.016526011424810173,413,0.0035,diabetes
385,1.0,0.1,0.007156528251643505,0.011272009215073226,413,0.0035,diabetes
391,1.0,0.1,0.0071270436975386835,0.007181645078633724,413,0.0035,diabetes
397,1.0,0.1,0.007103580109975692,0.0039023014175227438,413,0.0035,diabetes
403,1.0,0.1,0.007087355780550977,0.0016220409506570441,413,0.0035,diabetes
409,1.0,0.1,0.007077440364923171,0.000223324478713651,413,0.0035,diabetes
1,0.09866666666666667,0.1,0.24288840262582057,0.9982538991158693,724,0.0021,link
7,0.4142222222222222,0.1,0.13709914680788468,0.9870131358749227,724,0.0021,link
13,0.512,0.1,0.09177820267686425,0.9760207239632287,724,0.0021,link
19,0.576,0.1,0.06998595960686899,0.9646233083453688,724,0.0021,link
25,0.616,0.1,0.05683122847301952,0.9534092906321878,724,0.0021,link
31,0.648,0.1,0.04817923468376181,0.9421876313396452,724,0.0021,link
37,0.6684444444444444,0.1,0.04150110375275938,0.9307672909837005,724,0.0021,link
43,0.6871111111111111,0.1,0.03668026952643067,0.9194806782665841,724,0.0021,link
49,0.704,0.1,0.033104831967898346,0.9085914276762721,724,0.0021,link
55,0.7208888888888889,0.1,0.030236373126537916,0.8975187791812812,724,0.0021,link
61,0.7333333333333333,0.1,0.02778058389736337,0.886534008848949,724,0.0021,link
67,0.7484444444444445,0.1,0.025883003903968523,0.8757058908935299,724,0.0021,link
73,0.7573333333333333,0.1,0.02411616519007048,0.8650153213666201,724,0.0021,link
79,0.7688888888888888,0.1,0.022697454736289688,0.854389705264284,724,0.0021,link
85,0.7813333333333333,0.1,0.021497749951085894,0.8437755515309904,724,0.0021,link
91,0.7955555555555556,0.1,0.020504948680351905,0.8332301720119514,724,0.0021,link
97,0.8035555555555556,0.1,0.019480659411701327,0.8226962548619549,724,0.0021,link
103,0.8106666666666666,0.1,0.018528300353500466,0.8119330903311096,724,0.0021,link
109,0.8204444444444444,0.1,0.017749317333948696,0.8013112950184544,724,0.0021,link
115,0.824,0.1,0.016892015015124457,0.7903227038964413,724,0.0021,link
121,0.8266666666666667,0.1,0.016109754196331132,0.7794296325164485,724,0.0021,link
127,0.8337777777777777,0.1,0.015484680401479134,0.768551844295179,724,0.0021,link
133,0.8382222222222222,0.1,0.014879214857124824,0.7578498123992267,724,0.0021,link
139,0.8426666666666667,0.1,0.01432803337162203,0.7472012715588058,724,0.0021,link
145,0.8462222222222222,0.1,0.0138095099944878,0.7366024009842355,724,0.0021,link
151,0.8515555555555555,0.1,0.013355453011947415,0.7259309354057296,724,0.0021,link
157,0.8542222222222222,0.1,0.012909899380700977,0.7155842369500929,724,0.0021,link
163,0.8604444444444445,0.1,0.01255072802001893,0.7053139542880723,724,0.0021,link
169,0.8648888888888889,0.1,0.012193899290673485,0.6951239082093487,724,0.0021,link
175,0.8684444444444445,0.1,0.011845583064574795,0.6848689087060513,724,0.0021,link
181,0.872,0.1,0.011525853864862007,0.6748011278971138,724,0.0021,link
187,0.8764444444444445,0.1,0.011224571109820931,0.6643703720684991,724,0.0021,link
193,0.8808888888888889,0.1,0.010946768438842801,0.6541077309858402,724,0.0021,link
199,0.8871111111111111,0.1,0.010705282917672298,0.643806882006373,724,0.0021,link
205,0.8906666666666667,0.1,0.010449691306524279,0.6336321190863727,724,0.0021,link
211,0.8968888888888888,0.1,0.010235134202998519,0.6233389116862673,724,0.0021,link
217,0.9022222222222223,0.1,0.010025186428959455,0.613164148766267,724,0.0021,link
223,0.9084444444444445,0.1,0.009840548451702357,0.6031880669096689,724,0.0021,link
229,0.9137777777777778,0.1,0.009653397939731996,0.5931202861007313,724,0.0021,link
235,0.9182222222222223,0.1,0.00946915877570102,0.5831862329306221,724,0.0021,link
241,0.9244444444444444,0.1,0.009312154151967192,0.5732865668676402,724,0.0021,link
247,0.9288888888888889,0.1,0.009144607306935025,0.5633792592252966,724,0.0021,link
253,0.9351111111111111,0.1,0.009005307310392056,0.5536553494876321,724,0.0021,link
259,0.9386666666666666,0.1,0.008846962626609585,0.5439390813293291,724,0.0021,link
265,0.9404444444444444,0.1,0.0086800285505665,0.5342877665956,724,0.0021,link
271,0.9448888888888889,0.1,0.008547970761597658,0.5248580576633579,724,0.0021,link
277,0.9502222222222222,0.1,0.008424752537671018,0.5151876389812247,724,0.0021,link
283,0.952,0.1,0.008279412787866139,0.5057541092593018,724,0.0021,link
289,0.9555555555555556,0.1,0.008152153305982544,0.49616392716046553,724,0.0021,link
295,0.9591111111111111,0.1,0.008030604118754699,0.4866348776965223,724,0.0021,link
301,0.9626666666666667,0.1,0.007910710503056908,0.47692243032790016,724,0.0021,link
307,0.9671111111111111,0.1,0.00780476607222278,0.4673742769155529,724,0.0021,link
313,0.9697777777777777,0.1,0.007686617113467432,0.4576962166540581,724,0.0021,link
319,0.9724444444444444,0.1,0.007572296745435165,0.44799523165447835,724,0.0021,link
325,0.976,0.1,0.007471014098307115,0.4384661821905351,724,0.0021,link
331,0.9768888888888889,0.1,0.007350678884355561,0.428753734821913,724,0.0021,link
337,0.9786666666666667,0.1,0.007240182023831444,0.41898015481839784,724,0.0021,link
343,0.9786666666666667,0.1,0.007121512011487562,0.4092982737672222,724,0.0021,link
349,0.9804444444444445,0.1,0.007020871657447662,0.39974247877551333,724,0.0021,link
355,0.9848888888888889,0.1,0.006940659863817739,0.39005295614497604,724,0.0021,link
361,0.9848888888888889,0.1,0.006832757770103602,0.3804207453596509,724,0.0021,link
367,0.9857777777777778,0.1,0.006734926881406986,0.3708534879988996,724,0.0021,link
373,0.9857777777777778,0.1,0.006634838586163161,0.3613626464317645,724,0.0021,link
379,0.9875555555555555,0.1,0.006549857919373666,0.3519100127614375,724,0.0021,link
385,0.9884444444444445,0.1,0.006464439767931263,0.34275540068621385,724,0.0021,link
391,0.9902222222222222,0.1,0.006387578052878137,0.33365045887684064,724,0.0021,link
397,0.9902222222222222,0.1,0.006302616094867384,0.32466778233725346,724,0.0021,link
403,0.9911111111111112,0.1,0.006227797761344087,0.3159410987062806,724,0.0021,link
409,0.992,0.1,0.006155000110304661,0.307229698234031,724,0.0021,link
415,0.9928888888888889,0.1,0.006084772815174345,0.29860617592444005,724,0.0021,link
421,0.9928888888888889,0.1,0.0060101909594244855,0.28990241703155206,724,0.0021,link
427,0.9928888888888889,0.1,0.005939183189506202,0.2814126223607895,724,0.0021,link
433,0.9937777777777778,0.1,0.005874810828989406,0.2728884405828997,724,0.0021,link
439,0.9946666666666667,0.1,0.005812624667553191,0.2644521369676685,724,0.0021,link
445,0.9946666666666667,0.1,0.005748159715622769,0.25620305204679705,724,0.0021,link
451,0.9946666666666667,0.1,0.005686293441198441,0.24811061950283886,724,0.0021,link
457,0.9946666666666667,0.1,0.005623737297590688,0.23974691089154307,724,0.0021,link
