timestamp,dataset,strategy,parameters,recall,ancestral_recall,precision,reduction_rate,true_edges,kept_edges
2025-12-19 14:54:47,hepar2,batch_rank_k,k_min=1; k_max=67,1.0,0.1,0.0511,0.0029,123,2408
2025-12-19 14:55:53,win95pts,batch_rank_k,k_min=1; k_max=73,1.0,0.1,0.0395,0.0063,112,2832
2025-12-19 14:58:29,pathfinder,batch_rank_k,k_min=1; k_max=103,0.9744,0.1,0.0326,0.0112,195,5820
2025-12-19 15:02:05,andes,batch_rank_k,k_min=1; k_max=217,0.997,0.1,0.0137,0.0039,338,24657
2025-12-19 15:08:28,diabetes,batch_rank_k,k_min=1; k_max=409,1.0,0.1,0.0071,0.0004,602,85040
2025-12-19 15:15:08,pigs,batch_rank_k,k_min=1; k_max=439,1.0,0.1,0.006,0.0,592,97864
2025-12-19 15:23:02,link,batch_rank_k,k_min=1; k_max=721,1.0,0.1,0.0043,0.0001,1125,261701
2025-12-19 15:33:45,munin,batch_rank_k,k_min=1; k_max=1039,1.0,0.1,0.0026,0.0,1397,541312
2025-12-19 17:21:32,pathfinder,sensitivity_analysis,k_range=1-106,0.9949,0.1,0.0331,0.0036,195,5865
2025-12-19 18:13:42,pathfinder,sensitivity_analysis,k_range=1-106,1.0,0.1,0.0332,0.0022,195,5873
2025-12-19 18:18:46,pigs,sensitivity_analysis,k_range=1-436,1.0,0.1,0.0061,0.0007,592,96951
2025-12-19 18:42:52,win95pts,sensitivity_analysis,k_range=1-71,1.0,0.1,0.0398,0.0137,112,2811
2025-12-19 18:51:33,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 18:55:51,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0514,0.0087,123,2394
2025-12-19 18:57:04,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0514,0.0087,123,2394
2025-12-19 18:58:52,hepar2,rank_top_k,k=5,0.6098,0.1,0.083,0.6257,123,904
2025-12-19 18:59:01,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 19:24:41,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 19:26:48,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 19:40:36,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 19:41:44,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 19:58:29,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 20:06:31,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.007,123,2398
2025-12-19 20:11:54,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0513,0.0066,123,2399
2025-12-19 20:28:51,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0514,0.0099,123,2391
2025-12-19 20:32:09,hepar2,sensitivity_analysis,k_range=1-66,1.0,0.1,0.0512,0.0058,123,2401
2025-12-19 20:49:10,insurance,batch_rank_k,k_min=1; k_max=25,1.0,0.1,0.149,0.0057,52,349
2025-12-19 20:50:18,insurance,batch_rank_k,k_min=1; k_max=25,1.0,0.1,0.149,0.0057,52,349
2025-12-19 20:51:55,water,batch_rank_k,k_min=1; k_max=31,1.0,0.1,0.1331,0.0,66,496
2025-12-19 20:55:58,mildew,batch_rank_k,k_min=1; k_max=31,1.0,0.1,0.0804,0.0387,46,572
2025-12-19 20:59:31,alarm,batch_rank_k,k_min=1; k_max=31,1.0,0.1,0.0734,0.0586,46,627
2025-12-19 21:01:55,barley,batch_rank_k,k_min=1; k_max=43,0.9643,0.1,0.0734,0.0222,84,1103
