k,recall,ancestral_recall,reduction_rate,precision
1,0.053156146179401995,0.1,0.9964268083405816,0.10526315789473684
6,0.15448504983388706,0.1,0.9816286231458191,0.05950095969289827
11,0.24916943521594684,0.1,0.9666541291520722,0.05287275290800141
16,0.3521594684385382,0.1,0.9532193986694563,0.053266331658291456
21,0.4568106312292359,0.1,0.9409483062601377,0.05473726114649682
26,0.579734219269103,0.1,0.9289593079291943,0.05774321641297154
31,0.6960132890365448,0.1,0.913573426737817,0.05698354413164695
36,0.7508305647840532,0.1,0.8976116034697572,0.05188841694409368
41,0.7790697674418605,0.1,0.8813911939631868,0.04647705876523635
46,0.8106312292358804,0.1,0.8653823550153976,0.042608923426176545
51,0.8372093023255814,0.1,0.8490208984696396,0.03923705722070845
56,0.8438538205980066,0.1,0.8318719292884177,0.03551454138702461
61,0.8538205980066446,0.1,0.8143820964291592,0.03254812563323202
66,0.8770764119601329,0.1,0.7972683890077341,0.030612244897959183
71,0.8970099667774086,0.1,0.7797668022285432,0.028819981854085498
76,0.9136212624584718,0.1,0.7624767860081337,0.027216943784639746
81,0.9318936877076412,0.1,0.7450574766684689,0.02586445366528354
86,0.9451827242524917,0.1,0.7277674604480594,0.024567160312594448
91,0.9584717607973422,0.1,0.7106537530266344,0.023439086809928098
96,0.9667774086378738,0.1,0.6941042337619596,0.022363112391930836
101,0.9717607973421927,0.1,0.6776252380168787,0.021329346993838188
106,0.973421926910299,0.1,0.66115799619173,0.020327459414458165
111,0.9767441860465116,0.1,0.645313712122993,0.019485683987274655
116,0.9833887043189369,0.1,0.628869978137709,0.018749010292953287
121,0.9833887043189369,0.1,0.6128493852699876,0.01797316169773514
126,0.9850498338870431,0.1,0.5968405463221984,0.01728862973760933
131,0.9900332225913622,0.1,0.5810315240132584,0.016720437649039136
136,0.9933554817275747,0.1,0.5650697007451986,0.016160851822825176
141,0.9933554817275747,0.1,0.5495545264345659,0.015604206351277301
146,0.9966777408637874,0.1,0.5337925198053551,0.015127067365873336
151,0.9966777408637874,0.1,0.5181833141352641,0.014637002341920375
156,0.9966777408637874,0.1,0.5028209407837514,0.014184732499586279
161,0.9966777408637874,0.1,0.4873175203930511,0.013755788894493099
166,0.9966777408637874,0.1,0.47197865488140295,0.013356187253745298
171,0.9983388704318937,0.1,0.4567925903288747,0.013004435789245915
176,0.9983388704318937,0.1,0.4416888032158725,0.012652631578947368
181,0.9983388704318937,0.1,0.42690237194104236,0.012326182370072604
186,0.9983388704318937,0.1,0.41185735442770166,0.012010871737479516
191,0.9983388704318937,0.1,0.39724723195185596,0.011719740254675221
196,0.9983388704318937,0.1,0.3827664025952655,0.011444785100832175
201,0.9983388704318937,0.1,0.36887326923528996,0.01119284849613558
206,0.9983388704318937,0.1,0.35481558099626226,0.010948971598258367
211,0.9983388704318937,0.1,0.3408871858764898,0.010717597546187316
216,0.9983388704318937,0.1,0.3271468534756341,0.010498733513844003
221,0.9983388704318937,0.1,0.3139472013916641,0.01029673793859649
226,0.9983388704318937,0.1,0.30063001010837115,0.010100670576965093
231,0.9983388704318937,0.1,0.28777122170243774,0.009918310091591715
236,1.0,0.1,0.274935941136369,0.009758944348079822
241,1.0,0.1,0.2621359223300971,0.00958965209634255
246,1.0,0.1,0.24924187216436683,0.009424952640395785
251,1.0,0.1,0.23679447095606385,0.009271237602414833
256,1.0,0.1,0.2251463363031571,0.009131865964837765
261,1.0,0.1,0.21360398692964103,0.008997832747926164
266,1.0,0.1,0.20201462187639577,0.008867154703863546
271,1.0,0.1,0.190484026422812,0.00874085259612034
276,1.0,0.1,0.17968217400503067,0.008625754037053488
281,1.0,0.1,0.16923293918521828,0.008517260894170911
286,1.0,0.1,0.1591128141235102,0.008414755175353993
291,1.0,0.1,0.14938056841956793,0.008318478906714201
296,1.0,0.1,0.1399069089541362,0.00822685343354971
301,1.0,0.1,0.13045675732856907,0.008137444409900108
306,1.0,0.1,0.12092432826347586,0.008049204439096135
311,1.0,0.1,0.11175627071628388,0.007966124123329364
316,1.0,0.1,0.10295258468699311,0.0078879440244238
321,1.0,0.1,0.09421942217729613,0.007811891723547274
326,1.0,0.1,0.08578010766590657,0.007739778863461044
331,1.0,0.1,0.07784621171160581,0.0076731884519788416
336,1.0,0.1,0.06987705399750817,0.007607445692694577
341,1.0,0.1,0.06261313147934837,0.007548494689721759
346,1.0,0.1,0.055572533439902205,0.007492221530802738
351,1.0,0.1,0.04888455299842497,0.007439538303735835
356,1.0,0.1,0.042502174475187476,0.0073899486877317035
361,1.0,0.1,0.036131549871882274,0.007341105311936003
366,1.0,0.1,0.030254589905733563,0.007296615921652283
371,1.0,0.1,0.024765509297350666,0.007255547118872859
376,1.0,0.1,0.01951150708761372,0.007216667865448704
381,1.0,0.1,0.014621876395777993,0.007180857408688599
386,1.0,0.1,0.01053151225933849,0.007151172459670714
391,1.0,0.1,0.007181645078633724,0.0071270436975386835
396,1.0,0.1,0.004372458214814641,0.007106934573701981
401,1.0,0.1,0.0022449987070688074,0.007091780838055297
406,1.0,0.1,0.0007875126354639272,0.0070814365199797676
411,1.0,0.1,3.5261759796892266e-05,0.007076109315310021
