k,recall,ancestral_recall,reduction_rate,precision
1,0.08130081300813008,0.1,0.979296066252588,0.2
6,0.37398373983739835,0.1,0.8824016563146998,0.1619718309859155
11,0.4715447154471545,0.1,0.7875776397515528,0.11306042884990253
16,0.5772357723577236,0.1,0.6935817805383023,0.09594594594594595
21,0.6666666666666666,0.1,0.6045548654244306,0.08586387434554973
26,0.7479674796747967,0.1,0.5159420289855072,0.07869974337040206
31,0.7967479674796748,0.1,0.4277432712215321,0.07091172214182344
36,0.8292682926829268,0.1,0.34202898550724636,0.06419131529263687
41,0.8780487804878049,0.1,0.26335403726708073,0.06070826306913996
46,0.9105691056910569,0.1,0.19668737060041408,0.0577319587628866
51,0.9186991869918699,0.1,0.1341614906832298,0.05404112864658058
56,0.975609756097561,0.1,0.08074534161490683,0.05405405405405406
61,0.983739837398374,0.1,0.03561076604554866,0.05195362816659511
66,1.0,0.1,0.005797101449275362,0.051228654727197
