k,recall,ancestral_recall,reduction_rate,precision
1,0.010256410256410256,0.1,0.9855589534488617,0.023529411764705882
6,0.1076923076923077,0.1,0.9187903499830106,0.043933054393305436
11,0.18974358974358974,0.1,0.8521916411824668,0.04252873563218391
16,0.2153846153846154,0.1,0.7896704043493035,0.033925686591276254
21,0.28205128205128205,0.1,0.7249405368671423,0.033971587399629403
26,0.358974358974359,0.1,0.6619096160380564,0.035175879396984924
31,0.4205128205128205,0.1,0.6051647978253483,0.035283993115318414
36,0.47692307692307695,0.1,0.5496092422697927,0.03508110147114297
41,0.517948717948718,0.1,0.49558273870200475,0.03401818794206803
46,0.5743589743589743,0.1,0.445973496432212,0.03434529285495247
51,0.6102564102564103,0.1,0.39602446483180426,0.03347398030942335
56,0.6615384615384615,0.1,0.34777437988447163,0.03360250065121125
61,0.6974358974358974,0.1,0.30139313625552155,0.033073929961089495
66,0.7333333333333333,0.1,0.2562011552837241,0.032663316582914576
71,0.7743589743589744,0.1,0.21185864763846415,0.03255011856003449
76,0.8051282051282052,0.1,0.17006455997281686,0.03213920163766633
81,0.841025641025641,0.1,0.13353720693170235,0.03215686274509804
86,0.8717948717948718,0.1,0.09955827387020047,0.03207547169811321
91,0.9076923076923077,0.1,0.0652395514780836,0.0321701199563795
96,0.9435897435897436,0.1,0.040265035677879715,0.03257213666135599
101,0.9743589743589743,0.1,0.01766904519198097,0.03286060186786579
106,1.0,0.1,0.0022086306489976213,0.03320279243997957
