k,recall,ancestral_recall,reduction_rate,precision
1,0.07142857142857142,0.1,0.98,0.14035087719298245
6,0.33035714285714285,0.1,0.8933333333333333,0.12171052631578948
11,0.42857142857142855,0.1,0.8129824561403509,0.0900562851782364
16,0.5089285714285714,0.1,0.7340350877192983,0.07519788918205805
21,0.6071428571428571,0.1,0.655438596491228,0.06924643584521385
26,0.6696428571428571,0.1,0.5771929824561404,0.06224066390041494
31,0.7142857142857143,0.1,0.49473684210526314,0.05555555555555555
36,0.7857142857142857,0.1,0.4168421052631579,0.052948255114320095
41,0.8303571428571429,0.1,0.3424561403508772,0.049626467449306294
46,0.875,0.1,0.2736842105263158,0.04734299516908213
51,0.9017857142857143,0.1,0.21157894736842106,0.04494882064975523
56,0.9196428571428571,0.1,0.15017543859649124,0.04252683732452518
61,0.9553571428571429,0.1,0.09789473684210526,0.04161804745235317
66,0.9732142857142857,0.1,0.051228070175438595,0.04031065088757396
71,1.0,0.1,0.01368421052631579,0.039843472073995016
