,Fault,F1,F97,F2,F78,F3,F4,F5,F53,F6,F7,F56,F8,F9,F10,F55,F52,F11,F12,F13,F14,F15,F16,F17,F18,F19,F41,F44,F20,F90,F21,F22,F23,F24,F25,F26,F27,F28,F92,F29,F98,F30,F31,F32,F33,F34,F35,F36,F37,F84,F96,F38,F39,F40,F42,F43,F45,F46,F47,F85,F48,F49,F50,F51,F83,F54,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F72,F86,F70,F71,F73,F74,F75,F76,F77,F79,F80,F81,F82,F87,F88,F89,F91,F93,F94,F95,F99,F100,F105,F101,F102,F103,F104,F106,F107,F108
Fault,0.0,0.7960619879431275,0.7981434000196369,0.8399823446913002,0.7602300491332549,0.7909585136466174,0.8040177110132211,0.8132798497185986,0.7937303880538362,0.8155594791595931,0.8093070474461401,0.7899319500761571,0.7843090017549547,0.7891184376036798,0.7874304467391735,0.8174174403823314,0.7971467348996383,0.7672906499890729,0.7931426263936179,0.7912092707454033,0.7801972593865096,0.7476876779198076,0.7797202619743868,0.8055151965354379,0.80494624684654,0.7798044142586863,0.8091128357318714,0.821365719282042,0.7847082093995821,0.7882796251500336,0.8108399336755531,0.7924492300960961,0.7944733279541449,0.8051423961916743,0.7655814902908794,0.752475671847062,0.7869289654581966,0.7858779745210864,0.781221930226715,0.7800543815817054,0.793001588752537,0.7650139349481919,0.8458762674226764,0.7867592656544913,0.8046141260186038,0.7745043594659452,0.8178812549903801,0.796452491371497,0.8009674537211481,0.817446731920511,0.8456534643749509,0.8014407885329856,0.8073025985577172,0.8323163289682058,0.7867347416421382,0.7842669466655366,0.7733979494138311,0.7919842578464349,0.8066170547618524,0.7625699272142805,0.7982032152618944,0.7572013861250098,0.7913683705584302,0.7529427445281053,0.7343608385443577,0.7953811697003912,0.8095555669084852,0.7948199534946274,0.79116301429045,0.7870529979990327,0.8092040720750959,0.7961755023714626,0.8080240538974823,0.7826466550812157,0.8013623414384772,0.7798400444265721,0.794794089342032,0.7839656251296973,0.8058558281920112,0.8392953231892409,0.7871449825496748,0.7726598962934103,0.7497277168043931,0.8069618192465192,0.7678738523583074,0.795512870876155,0.7885674979923512,0.7849989346658665,0.8399756866712621,0.8199185927067589,0.8173295594523375,0.7750766226731935,0.8134834368363764,0.7841576480130368,0.8077236186012468,0.7950375971350335,0.7873549091346674,0.787924333541614,0.8128244875540197,0.7859331041792916,0.8108942759987974,0.7822444709768717,0.7962309707349465,0.7859756412891957,0.771090212173079,0.817710501521039,0.8067662439082423,0.8378650712109592,0.831564072630758
F1,0.7960619879431275,0.0,0.8365261167452006,0.8116035084837413,0.7984025887015157,0.8335126315453216,0.7903519499571341,0.7905236568879233,0.811874585467321,0.7881302325447899,0.8201296545341775,0.820184587386452,0.7929089767099001,0.7802159076803349,0.7820548023541872,0.8058325137369753,0.8004992160381273,0.7882451974274984,0.8004015160061283,0.793304657892869,0.7897722519855951,0.7751613243209806,0.7756498328017762,0.7981586341099298,0.7889065685636493,0.7684886780020742,0.7792055122041145,0.7621530010290049,0.8057055782207986,0.7824456162670952,0.7986628605176488,0.7908545065277983,0.783853512312404,0.8094901889020883,0.8088282537413287,0.8052912116533064,0.8063864003161628,0.8165618446094146,0.811048428039443,0.7995633991738127,0.7982404127428679,0.7824099872246255,0.7851792653913046,0.7977333153809352,0.821476072801396,0.761570817144687,0.7883326306947968,0.7612154466256362,0.7926825099614954,0.786826204917427,0.7935123084663828,0.7850279914929178,0.7884155386990724,0.7821091223237022,0.8017155331854521,0.7856189098780477,0.7542227371711837,0.77772665406476,0.7719327203727049,0.7704305083947051,0.7868977802394987,0.8014733520809797,0.7677062562138572,0.7596663632706031,0.7482606680396335,0.7787818540778642,0.774774952893948,0.7836227515016545,0.8051877140867146,0.7688158015771434,0.7907281711692712,0.782714803146607,0.7949199602061771,0.8180783270902646,0.8028634380393124,0.7869063601876779,0.7730754545315762,0.7830388901143949,0.7765973388628511,0.7810269641540084,0.7849548090419542,0.7802307889447537,0.7573447404740535,0.7830890323025451,0.797714233928116,0.8133771591605181,0.7809468209730881,0.785442991417286,0.7997068898435586,0.7848374652312502,0.7860002851172692,0.8047204862835196,0.8047410976828022,0.7863861910832637,0.7803316851019083,0.77606336564099,0.7784478450670352,0.8009999063465572,0.7800434668641275,0.7944600169352901,0.8171627462581369,0.8166673491267012,0.8125036050988164,0.8144124513597115,0.8180167169282517,0.8433809403806317,0.8231160125393481,0.8140677985794487,0.8179104093822247
F97,0.7981434000196369,0.8365261167452006,0.0,0.8396855246647955,0.7616777976297753,0.7932791685512219,0.7785018114678602,0.7915472222924698,0.7859678608891518,0.8047564878472764,0.8090807663375938,0.8054842313064228,0.7819523170933911,0.7819723843209161,0.7875140074807868,0.8344580464708627,0.8125728646683208,0.7833579077856869,0.7962712889786678,0.7844811676105927,0.8020523732760306,0.7525746713017534,0.777941956817402,0.7999141860317818,0.7706836421828364,0.7743894626667479,0.7738543618077148,0.7954629698372011,0.791816806367158,0.8048142238226583,0.7984651245042725,0.779563071452999,0.791996308807073,0.8516280774600288,0.7721787958097568,0.7800514881610656,0.7689878945075287,0.7994006298862494,0.7986842905396885,0.8038462317853713,0.7940042510167017,0.7583173037585687,0.7714248949877072,0.760436228983913,0.7901870300605163,0.7636003917920897,0.7585527250892411,0.7998089233238833,0.7791558360122325,0.7934990247254555,0.8029643487056883,0.7826883869337364,0.8044540914745677,0.7989621121813655,0.7890524166883537,0.7993065199289046,0.7593146162971737,0.7951142213781301,0.7874087058138768,0.761733867944651,0.784952243209516,0.7788211940706047,0.7470394361390216,0.7573839058466264,0.7350987246679862,0.7828384453289056,0.7935344830200548,0.7926079338525339,0.8019804617764955,0.7743755556442713,0.7871825934683495,0.7989966952024856,0.8186271705699496,0.7981233149452256,0.8098084762238672,0.8076194838918965,0.7614246399524457,0.7814779121115104,0.7928064255586862,0.7895926339317341,0.7875521755264998,0.750810200242995,0.7502197288777641,0.7931764785383255,0.7630386014790986,0.7981145555477553,0.7830027502151452,0.7757848188081963,0.8001413171831183,0.7849685828564175,0.8150522768670957,0.7771014997253483,0.8269817069662733,0.7982122535758396,0.8222512283973109,0.8004668495815367,0.7818273881272384,0.8087695517218783,0.8130346992098563,0.7492347366227686,0.8197762011630609,0.804153510341315,0.8068343178450521,0.7908928510149338,0.8027194484371315,0.8186376155891856,0.795151127480234,0.8038790765581499,0.7830874936235178
F2,0.8399823446913002,0.8116035084837413,0.8396855246647955,0.0,0.7823718284919077,0.8054633478808367,0.8157707540538227,0.8418173732178627,0.7970387499556676,0.8176357177995914,0.8452661039812339,0.8266819963683534,0.8100379025770829,0.7894390352903824,0.8041454615356644,0.8430346679728364,0.8394185060123058,0.8120928859756088,0.8128013846611212,0.7949175104135074,0.7997201046476098,0.7684256932813907,0.8085295427861527,0.8087176851127431,0.8215404171963067,0.8137878258086619,0.7843028139514617,0.8013717758215697,0.7958139337352298,0.8065809463013651,0.8010839359174264,0.7955379101932383,0.7928284210284495,0.814080294311132,0.7937965807531806,0.77149296855868,0.7698722902227236,0.8135886107273547,0.8003859589024835,0.8065793400211616,0.81944989375813,0.7719378686274704,0.8144513280686982,0.7760365743131656,0.8177664793406831,0.823629861496755,0.8223068451728779,0.8249456302577388,0.8137085587199362,0.8022476276473329,0.84854732194275,0.8070153017383248,0.8028557423800333,0.7986692441736521,0.7877940693992342,0.8039606515518223,0.7741959852675983,0.7980193521378651,0.7754589569825445,0.759973917157462,0.8063336558324319,0.7697402690950609,0.8108729321524208,0.7639414455472032,0.7498515597031203,0.8247778467344031,0.7961904237127447,0.7963445757141174,0.7958705868683795,0.7737895374996298,0.7963457524282038,0.793503613155544,0.8202924683787937,0.7906367269376317,0.8122128657298052,0.8042564876164515,0.7717985933564369,0.7789660685711509,0.7877819765415928,0.7916074654732776,0.7913797478815237,0.7604482395579502,0.7659145824764676,0.854408117672647,0.8041063119991111,0.8025207262530624,0.7896702505143822,0.8047874201434513,0.7865807501957293,0.7843706533391057,0.820799946244799,0.7710570005578574,0.8074291501574622,0.7977941210061371,0.8036184260036376,0.7970314354828261,0.7752341875552785,0.7979017071897433,0.793322560123493,0.7809250435349667,0.8011472393256899,0.7820763903049712,0.814226140431618,0.8058384979694264,0.7989491645045417,0.8377798926311716,0.842008903416678,0.8398614280623234,0.8191983410334702
F78,0.7602300491332549,0.7984025887015157,0.7616777976297753,0.7823718284919077,0.0,0.8315776322636433,0.8140906209554307,0.7960373139917671,0.8100661344922451,0.7869903313892559,0.8095123736120234,0.7992320184750263,0.7795996393184045,0.7836494194689377,0.7665573942532268,0.8013976808164046,0.8030730173704087,0.8160143395135824,0.7977716110296714,0.7868371880701461,0.7991006210230808,0.8121813843117212,0.7743941131386354,0.8023505341554671,0.8367404028182699,0.8028254316420051,0.7743017643936155,0.775158988366311,0.7924488312851338,0.7821157308416873,0.7707217412071489,0.8034624590962497,0.7832219608900087,0.7741851629372077,0.7950210200334807,0.8016518170513126,0.7954172055013558,0.7759284766993964,0.8058158021054301,0.7523431027091947,0.7758409726577525,0.8054624378928398,0.7837855976852075,0.8305605047475602,0.792190633440103,0.7844098397795383,0.8175249847109641,0.7868829068104398,0.8102299778592301,0.7843210290946947,0.7789122607068046,0.7921836762400635,0.7789316322040354,0.7718810141311712,0.7847440232872922,0.761316761823243,0.7765068208215831,0.7610618222574608,0.763704073487952,0.7749859906260355,0.7686950682522254,0.7789044404199801,0.7404995460511066,0.7591695039913142,0.7491247306910397,0.7770286111358164,0.7745810838311595,0.7736156107633136,0.8109917431413801,0.7859837022213405,0.7933353432037827,0.7766790850419358,0.7737428129216163,0.8190971237922978,0.7896848238860349,0.7766109910336627,0.7753795775539212,0.7762896589697927,0.7493260933718044,0.7765545853528457,0.7564780945410141,0.7608766329154049,0.7560540925440895,0.8165436913161381,0.7758251094026406,0.7895912834219986,0.7866899127582399,0.8048046055010233,0.8080481012401318,0.7752071231680975,0.7847725160377684,0.7856772794689745,0.7596779349166843,0.7809619995503065,0.7551578522079557,0.7721890774056779,0.7708482078569053,0.7856127164230897,0.7567590106441813,0.8252508411744474,0.800262658010128,0.8044312986658192,0.8108041960766693,0.8160133661030716,0.7908292423417391,0.8084505832929525,0.7967692028330563,0.806621533668136,0.7918970671852756
F3,0.7909585136466174,0.8335126315453216,0.7932791685512219,0.8054633478808367,0.8315776322636433,0.0,0.8115814098401739,0.8159121387861443,0.8499907145383355,0.8634724156586696,0.8481828832822021,0.8499504118405382,0.8462156747435305,0.8145192650646398,0.8088349690916561,0.8619653536244578,0.8215426290923941,0.8341931175562406,0.8330673948003091,0.8168393340069351,0.8061414605564612,0.7908677137243962,0.7999909573398328,0.8202569055243057,0.8132254453515644,0.8156633411483423,0.8133869822785953,0.8044791438977844,0.8135612451020208,0.8042684212129385,0.8238450623574912,0.8338987592081805,0.8268843686713688,0.8205601689346712,0.8452148521599943,0.8153753635529231,0.8831027315062082,0.8504841852099843,0.8512995011361408,0.8154867747823975,0.8152494311004425,0.8388178717742273,0.8289971623568446,0.8471247043628755,0.8328698102162474,0.78898920112549,0.8475147202949083,0.7801573044011587,0.8260793008607848,0.8173377923019969,0.8279251654256569,0.8210176091600404,0.8075610606437739,0.8173219003652434,0.8207956977353431,0.802050764337671,0.7965902272097729,0.808826680872085,0.7898857195101311,0.7931031972643263,0.8069825391155065,0.8088233676943763,0.7661727458310243,0.7846498067608595,0.8045687177105889,0.8250205398838022,0.8149650395680773,0.8165295779074903,0.8488626259719874,0.7949430758665362,0.8267257651455293,0.8304394232841089,0.8330446972627817,0.8412295119155151,0.8330881426658427,0.8149132079529805,0.7962250738335287,0.8058521778758475,0.7938644924485906,0.8094474307896704,0.7862975514223518,0.8151432986097429,0.7887174509271158,0.8196173567477887,0.7904152444483554,0.863567651867549,0.8087525979039523,0.8121518789270262,0.8310246561161545,0.8328321969338874,0.8130401531215677,0.8049084929261633,0.7982803753009271,0.8234764296648757,0.7930754990149091,0.8061247633127828,0.811978146958659,0.7963547835672969,0.7718255294568914,0.8379771948195772,0.8387629039126211,0.8222655243797142,0.8327315774882259,0.8324338636328812,0.793114457001211,0.7884218737714384,0.8316359542087892,0.8105656120288834,0.803648215941907
F4,0.8040177110132211,0.7903519499571341,0.7785018114678602,0.8157707540538227,0.8140906209554307,0.8115814098401739,0.0,0.8532779789550421,0.8127916849717657,0.8265024965418065,0.8323305717101014,0.8305526338091643,0.7992055960445612,0.8032769621823859,0.8170714247326009,0.8256854670746445,0.8608095507826861,0.8345574851106401,0.829470901930779,0.8276240097387848,0.8347958499717674,0.7885874245919683,0.8033653662026179,0.815008327116946,0.824059623447303,0.8554148993115961,0.7880091865791693,0.7915139044105715,0.8190009465740727,0.8256511264824307,0.7921975800589467,0.8194578025923775,0.7984989682003756,0.789057750852192,0.7999362064154633,0.7709861032077064,0.7823055577711766,0.7740124341226904,0.8317574405013591,0.7597200480613264,0.787055218083704,0.7939659320117557,0.810740028403969,0.8589141234841602,0.8297054307432977,0.8531960526163054,0.8243793275518324,0.790406985838074,0.8273207656060126,0.8434099871541829,0.8508000177718296,0.8201137284619666,0.8105413441762196,0.8013631164581507,0.8151181777849664,0.7995971824564906,0.8008225675937112,0.7895440621371568,0.8111511954844783,0.7893335492496636,0.83554995323049,0.8037118445662241,0.7861481413439819,0.7727031622451872,0.7610217039097683,0.818028231230982,0.8045834472808442,0.798823139161241,0.8127983953831742,0.7932678967857749,0.8158154151850942,0.7911679535615489,0.805170264554956,0.8050023765828607,0.8026080528547394,0.8098061541145833,0.78655260326077,0.7873914560268531,0.771204598647802,0.7738487911751775,0.785413460069581,0.7872784472270296,0.7702614149405352,0.8439651695690623,0.8381499224461739,0.8082284065799654,0.8172038983254308,0.8647656831466554,0.8062578985403644,0.8083215093793893,0.8096420319270381,0.7699539578148134,0.7964774787940567,0.8091024741334177,0.8105878108627511,0.806829916821251,0.8141651667860219,0.7902119344421003,0.7880441468966927,0.8457551095442039,0.82452521664145,0.7900130096496619,0.8484597526856658,0.8470513249382476,0.7813254158516127,0.823789627070702,0.8370387894279677,0.8108951644073628,0.8127792477002762
F5,0.8132798497185986,0.7905236568879233,0.7915472222924698,0.8418173732178627,0.7960373139917671,0.8159121387861443,0.8532779789550421,0.0,0.8151093317907487,0.8202251496169721,0.859681531506982,0.8355932272378961,0.8267742152100553,0.820109744559564,0.8279528767014719,0.847528131079821,0.8287535539314771,0.8412399984878816,0.8239595757261563,0.8101096278027923,0.8139828839567905,0.7923104851976507,0.8195685070387715,0.825321471029752,0.8256990052236848,0.8598831982839578,0.7749455638432413,0.7931159584606133,0.8237284272637154,0.8057008705216274,0.8114761562984177,0.8123346184001748,0.8052588446082124,0.8140186164512024,0.786959601083098,0.7699996856613124,0.769156665546007,0.7930249467795389,0.8025839805322005,0.7877585142092508,0.812283649452562,0.8071854176203523,0.8316410070306529,0.8230667216966455,0.8313230380286026,0.8172177986429912,0.8585512032013025,0.8105434470965822,0.8624023287116573,0.8252210230266461,0.8561132984947216,0.8392635161994372,0.8121970527990119,0.807910618679497,0.801536012809041,0.8017394688629441,0.7882803306900474,0.8041605208281449,0.7974572783356914,0.7893340046672165,0.8336908086477741,0.7706411834194482,0.8117660717125716,0.8023571405632467,0.7848287515426154,0.8333990811656006,0.7997061223828797,0.8092148834869217,0.8084034075658371,0.7783432430813919,0.7934728372418278,0.785641337268007,0.8039291688434239,0.806759785229072,0.8014840503983534,0.8078188735252825,0.7861005253285417,0.7991353232648946,0.7864134165300881,0.7965535327770168,0.8051363563688957,0.7902238111874755,0.7639692233191405,0.8445879144972586,0.8192408204198838,0.8064538884867488,0.7853952487322485,0.8223993331737178,0.7877989029530518,0.7824156793500251,0.818360028024433,0.7759363786737972,0.8027703322981625,0.7983387821101198,0.8048706723899319,0.7992844122480341,0.773123191372709,0.7834771200033845,0.7747243611741216,0.8238054789238592,0.8081421626499444,0.7734284214152372,0.8111260907325336,0.828740725391996,0.7744777551390085,0.8165929347851403,0.8141710043955497,0.8340524550761409,0.8179877971433112
F53,0.7937303880538362,0.811874585467321,0.7859678608891518,0.7970387499556676,0.8100661344922451,0.8499907145383355,0.8127916849717657,0.8151093317907487,0.0,0.8614066473196186,0.876437266077804,0.8711138999435051,0.816905236999991,0.8016080938179965,0.8332420956098158,0.8275292673040234,0.8159753400419298,0.8819837350242744,0.8672218944147726,0.8249926707781323,0.8253046965007947,0.7855304092036791,0.7863451795105465,0.8209122218140705,0.8110426329625018,0.8057588401357467,0.8115676590960093,0.8043219463313279,0.8336204277440596,0.804606702729419,0.8683862753947963,0.831856817924942,0.8142543905746036,0.8227184498938684,0.8434069715962824,0.8534659338641951,0.8241946458452938,0.8084662550024815,0.8212752981413955,0.7999470693799827,0.8110950148425543,0.7877227735334377,0.8002930882420738,0.8363171839379296,0.8173496758678929,0.8015963616403442,0.8130205546006458,0.7910024924216871,0.8013555372453728,0.822833971068248,0.8565346485940128,0.8344041151422082,0.8038781894517315,0.8092034240657329,0.82328198071877,0.7955094366402988,0.7926201160332006,0.8032503801688587,0.7981813737657534,0.8170603824866585,0.8028786208270147,0.7866709417484246,0.7658255736678885,0.7785972374460721,0.7770353569810667,0.8011392110808172,0.8113026280810703,0.8316961515216472,0.8297271538755303,0.8174249274625779,0.8303161580685751,0.8249325473587634,0.8070779460290014,0.8386513106884205,0.8186173354282188,0.8019988412472829,0.8107286237064322,0.7968802825723296,0.7889835036396746,0.8054785962088933,0.7831827263631529,0.805437391477583,0.7765261174210079,0.8153829473017303,0.7835350478149808,0.8259587698872229,0.8313111619166482,0.8147664243891298,0.8310157341494242,0.8118950408331922,0.8660625808410055,0.8639338881920048,0.7998413207829065,0.8026452847876453,0.8050580774788263,0.8053363689857918,0.8072038197486557,0.7961453686024699,0.7730357843718365,0.8135727729070571,0.8121308883675296,0.8236517302921227,0.8182121436571874,0.8292276872580174,0.7796243940501258,0.7767593800993136,0.8192712470088575,0.7989029016873671,0.8061268720756614
F6,0.8155594791595931,0.7881302325447899,0.8047564878472764,0.8176357177995914,0.7869903313892559,0.8634724156586696,0.8265024965418065,0.8202251496169721,0.8614066473196186,0.0,0.8699113580006117,0.8695980697262841,0.8440035265290653,0.8313604529184513,0.8641483483953158,0.871962598268857,0.8147740908420312,0.8296185177829379,0.8421971827714577,0.823732532653976,0.8244560674919512,0.7590797225464577,0.8013884852417954,0.8236926215903069,0.7956380404714112,0.7978215135286049,0.834529169841477,0.8470842385593128,0.8306838677682293,0.8466907818410392,0.8527115114915191,0.8210621065642297,0.8516718286260735,0.8222650919298653,0.8104282852084947,0.786157141543659,0.842523075782713,0.8284883706322216,0.8607744985277335,0.7973234604335989,0.8085527042059631,0.7974046964004142,0.8386200772958591,0.8218931462435254,0.8157424339232986,0.7991997477280247,0.8311478358614016,0.8013321824323556,0.8036357984263183,0.8498592868101134,0.8690331294358723,0.8495836846511692,0.8351503893287995,0.8536595495029009,0.858886607379312,0.8220874935632634,0.8088608089926204,0.8252144809672091,0.8252091339675311,0.7940209178142794,0.8260642204918325,0.7943288349473088,0.7816826029907251,0.7836409301820356,0.8004748442574358,0.8435262874172128,0.8540263596117867,0.8800222235116112,0.8321603225719402,0.8283098138804047,0.8528223228260785,0.8632061417281923,0.869418681216074,0.8163884680557536,0.8311506204806272,0.8469989648658953,0.7988021506204597,0.8083735838265451,0.816413349638428,0.8348971692862237,0.8098444479907754,0.8128646803538535,0.7792285478264858,0.8131328802979676,0.7974741479975351,0.861543433296691,0.8281116615017327,0.8110747236596454,0.8404057234263296,0.8357847664302331,0.8700074418895507,0.7817751191839024,0.8293279861090703,0.8418448710159817,0.836366506698339,0.8276435052880319,0.8238332771974493,0.8186994408958282,0.8063822042625586,0.8136234806059347,0.8482334578529961,0.7989432279738639,0.8140858298497737,0.8216924194241938,0.7865192927440552,0.7878882510229716,0.8090554549749196,0.8197960739409499,0.7960790614189415
