,AppOK,AppData,DataFile,EMFOK,DskLocal,PrtThread,GDIIN,PrtSpool,PrtDriver,GDIOUT,DrvSet,DrvOK,PrtDataOut,PrtSel,PrtPath,NetOK,NtwrkCnfg,PTROFFLINE,PrtCbl,LclOK,PrtPort,CblPrtHrdwrOK,DS_NTOK,PrtMpTPth,DS_LCLOK,NetPrint,PC2PRT,DSApplctn,PrtOn,PrtData,PrtPaper,PrtMem,PrtTimeOut,FllCrrptdBffr,TnrSpply,Problem1,AppDtGnTm,PrntPrcssTm,DeskPrntSpd,CmpltPgPrntd,PgOrnttnOK,PrntngArOK,NnPSGrphc,GrphcsRltdDrvrSttngs,EPSGrphc,PSGRAPHIC,Problem4,PrtPScript,TTOK,FntInstlltn,PrntrAccptsTrtyp,NnTTOK,ScrnFntNtPrntrFnt,TrTypFnts,Problem5,LclGrbld,NtGrbld,GrbldOtpt,HrglssDrtnAftrPrnt,REPEAT,AvlblVrtlMmry,PSERRMEM,TstpsTxt,GrbldPS,IncmpltPS,PrtFile,PrtIcon,Problem6,Problem3,NtSpd,PrtQueue,Problem2,PrtStatPaper,PrtStatToner,PrtStatMem,PrtStatOff
AppOK,0.0,0.7893740200551413,0.8278016858639291,0.8585482521922758,0.8460468040100712,0.8608231276377423,0.8218363208346047,0.874245561988933,0.8568454659279099,0.8578468813120822,0.8126629857364193,0.8431817428191795,0.8102219699389401,0.8384278313297671,0.8690904592392492,0.8608784156022977,0.8294715709774243,0.8407932957335837,0.8284434675407297,0.8285092301644879,0.824953362151051,0.8573046799222205,0.8531599953534899,0.8185795102527776,0.859945250490329,0.8076192414841117,0.8689506568296753,0.8875005453847618,0.8237771645436012,0.840800540637627,0.840992171323206,0.8006165783762756,0.8007255148922611,0.822584496451211,0.8190119205007933,0.7797902954315384,0.8146763835006098,0.8055233467033178,0.8291333254402997,0.8214551052375677,0.8346715758637365,0.8576306240693483,0.8140578952916108,0.8051545935334135,0.8000313650244701,0.8138950777454761,0.7521331620124102,0.8211296634265265,0.8149682807404255,0.8180708524163742,0.7992390521747648,0.7937005114966074,0.7785373615580173,0.8262215632357868,0.7648393054957583,0.7880504181810588,0.7855797922624528,0.8034669186571539,0.8067997514877108,0.8158582160637714,0.838115870812056,0.8090723760082266,0.8384644204896963,0.7964896667791351,0.8086369299143262,0.8385644039380776,0.8396903800386802,0.7931034674064922,0.7856410966237357,0.7959779947861069,0.8594856494949814,0.7614642839764765,0.819686836919676,0.8433381925485374,0.8679825763943169,0.817403915748967
AppData,0.7893740200551413,0.0,0.7949613107202429,0.809231257922731,0.7956157554440187,0.8019676327282583,0.8556130771395399,0.8062667288631472,0.8261296336087437,0.8272799842699831,0.8115552715955228,0.8003578081509697,0.8192649819964845,0.8030339757196177,0.8047366568106462,0.7745718952514643,0.7648153347047043,0.7888122110160746,0.817882380628013,0.7791380060922641,0.7897040572876542,0.7835842905041311,0.7975393893304503,0.7639817201176401,0.8188980600843134,0.7916597387999771,0.7922993510751621,0.8119965642639091,0.7950885311622844,0.8405164088895339,0.7944711879365352,0.7553542400562302,0.7418764859740865,0.7794570818498336,0.7803230496770708,0.7215454454419017,0.7840533449059602,0.8137052451783306,0.8003138762756554,0.7765174850702166,0.805005186357352,0.7822982274150904,0.8467047842520318,0.7745334539717211,0.8056466530688047,0.7948644879632816,0.7561241299182984,0.8101876098289711,0.8030036707014395,0.8082697573604295,0.7981841028848354,0.7905442043071705,0.7686771404532551,0.8188677152915349,0.7756050300055303,0.7735687169986355,0.7588945274148668,0.7869714721161672,0.7631775484039331,0.7772102380213508,0.7927905708861571,0.7593092010303758,0.8015877655794917,0.8029957598641043,0.7900951017421809,0.822165385031121,0.7742873583347484,0.7378643821623566,0.7818313868783779,0.7623701740996373,0.7540929451133533,0.7814404205976947,0.8129791914938587,0.7659362933220487,0.8029329423245879,0.7791904781377228
DataFile,0.8278016858639291,0.7949613107202429,0.0,0.8274780445843569,0.8964393201192431,0.8267031495040824,0.7887891426442833,0.8477576361657337,0.8043204244175385,0.7809939000338331,0.7948376309223536,0.7815008334620669,0.7873723877299479,0.7949323474939672,0.8137628167381361,0.8226941608557545,0.7946991125232006,0.8044049850130239,0.8055262731384707,0.8029379454272504,0.7962143958346438,0.7816041520365464,0.7964778768634898,0.8159876836140758,0.8192328474183314,0.8009397880270173,0.7998464721818064,0.7986817704184627,0.7886614067263595,0.8283860961699747,0.8183166951582551,0.8325753433744447,0.7867007245922204,0.8375127271691206,0.7959141956451463,0.7252695317382742,0.8161186859541018,0.8226319146460153,0.7973855808247232,0.777873766119553,0.7887974068765007,0.7916495698132222,0.8179163312448832,0.7808925687229016,0.8078457536373755,0.7971384243342788,0.7362426986988329,0.7827635257689958,0.7757655701676576,0.8049937979107376,0.8063399385084614,0.8045021549453066,0.7826378738780126,0.7744618238197248,0.7720540875035491,0.7833025584881909,0.7765347120861196,0.7803671599664833,0.8010583580327509,0.811314919764098,0.852928521830606,0.8228065539905243,0.798173536506247,0.7831521378084705,0.8178161490253493,0.8221556332920592,0.7910285989853854,0.8015613480866173,0.7781774678075409,0.804301359086794,0.8288055601496149,0.7442761877698181,0.7846026322200775,0.8167145469633774,0.8585579104275942,0.7647990222577502
EMFOK,0.8585482521922758,0.809231257922731,0.8274780445843569,0.0,0.8198978689066673,0.8458554756657186,0.8110869151437259,0.8293616973906845,0.8157355441209933,0.8584403794501666,0.7928428424114206,0.7909825261891879,0.8329581652679088,0.8020965685649432,0.815365142181002,0.8236070708242834,0.8275277063174505,0.822084036474501,0.7855779238502345,0.7909162914321267,0.7849398481669466,0.7995610179696081,0.8484288496471044,0.807458293034049,0.8398307447774963,0.7861328060015184,0.8443371473477423,0.8066357480382619,0.808295802538847,0.8190395484891712,0.821021848246434,0.8005856577871013,0.7737128316876216,0.792821107519436,0.7970992912019248,0.7676419191561664,0.8141361738697187,0.8132740343139568,0.8396524567265257,0.8371784317588656,0.8102829598395681,0.8311080279610661,0.8260428196569434,0.7890303659033029,0.8052261139554147,0.8114110404025644,0.7625873082873306,0.8106766405626902,0.8014548340179377,0.8162451408742025,0.7997089588450732,0.8130752610668912,0.7840743495432351,0.8372270753450939,0.7881364143191003,0.7553301221463687,0.7691590153360568,0.7648202249618107,0.8045905426794057,0.7919728403167672,0.8459821799270887,0.8010429638086842,0.8271789697507533,0.7758683394780481,0.805964983895299,0.8460890453458083,0.8237980673724067,0.8076118606922291,0.7804920617203006,0.7919603185600648,0.8376816650763935,0.7537242441548699,0.805774459168409,0.8230166805046761,0.8333170359537783,0.7898158425370766
DskLocal,0.8460468040100712,0.7956157554440187,0.8964393201192431,0.8198978689066673,0.0,0.8469952101758026,0.7738223383268807,0.8448799537409395,0.8181238105966442,0.787574512051539,0.8370201996223999,0.8809433070636388,0.7942024706912227,0.8352356403692738,0.8566066884632627,0.8698400402276811,0.8489113865657744,0.8315067637924892,0.8390265918992768,0.8380173034734051,0.8159086706415928,0.7989153553324494,0.8034648269764821,0.827612093176511,0.8205914329181007,0.8123291468267695,0.8250413910863053,0.8247246756554487,0.8273426943122153,0.8315686546438366,0.8366577479474301,0.8669044206603638,0.829396007531464,0.8526356011802452,0.8734979549496908,0.7764904436257514,0.8402695174963124,0.8395361037925262,0.802776261875828,0.7856975950683204,0.8089670681780852,0.8096382297959166,0.8101970913610296,0.8318264779326835,0.8302977552144597,0.8099328577513173,0.7730826651719848,0.8136094370348071,0.8243406586980007,0.8432988456104517,0.8379123695005632,0.7847709129737146,0.8202594899403828,0.7814132801102454,0.7912798352922034,0.8167491848703815,0.8244493811271323,0.8181583598224782,0.8327411127354518,0.8159340686517259,0.8531033590878385,0.8499195536393128,0.8238282855492258,0.8103594213900196,0.8441155922648287,0.8581487128644929,0.8436956950445272,0.814921951850959,0.8283744407841916,0.8319068928236949,0.8452680289152189,0.7788012730820307,0.8070295496363911,0.8553557485581293,0.8649856866888227,0.8114695062049924
PrtThread,0.8608231276377423,0.8019676327282583,0.8267031495040824,0.8458554756657186,0.8469952101758026,0.0,0.8059990584019464,0.8425437126306964,0.8215453436201161,0.8249276781075588,0.8122836000690068,0.836390097113617,0.8147500069284561,0.8185533917830878,0.8751614960847736,0.8460435090161875,0.8144376786858741,0.8801544630333933,0.8142334084577885,0.8461185614149995,0.8163913582166205,0.8102409414451928,0.8083097620797159,0.8214012638856192,0.8143220417579313,0.8497492430679707,0.8387915192888686,0.8283209969861072,0.8188615332087242,0.8344589859348062,0.8060391663909461,0.8051326947801027,0.8277839086897288,0.8341368803126342,0.8255398017707213,0.8114265165862979,0.836442432954886,0.8589914921449414,0.8116991577345741,0.7976281071729829,0.8022006636045645,0.8098627979519027,0.8107889998973836,0.7972185654673248,0.8134328068400969,0.8157636454538147,0.7572640357541724,0.8052849140877687,0.8413275971483192,0.8018257885827514,0.8175586626614567,0.7895151169208068,0.7996656777917763,0.7866981418839707,0.7758805138162754,0.8092734955562707,0.7990919697136925,0.8086163747577747,0.8552261743101546,0.8415283937736638,0.8412258715191685,0.8261103072485988,0.8133329435468164,0.8094552742066418,0.8265731857328201,0.8301267678787766,0.8187668079779818,0.834088593044044,0.7991471111474033,0.8347398427427813,0.8592819419878797,0.7775891386261966,0.8321957517479602,0.8325250169345456,0.843595345610348,0.808497500897533
GDIIN,0.8218363208346047,0.8556130771395399,0.7887891426442833,0.8110869151437259,0.7738223383268807,0.8059990584019464,0.0,0.8054387054642266,0.8673357478377793,0.8610884230538608,0.8073168647172941,0.8034707035929095,0.8325199366194854,0.79837061685613,0.8306032463285692,0.7730360746056073,0.7605053133733385,0.8132995531881617,0.7901496834869377,0.7979163371108454,0.8096155918939857,0.7825522434382508,0.7670850479642285,0.7943749408305372,0.7828143341476516,0.8052213198117246,0.7752934067793857,0.807055742195417,0.7731814278156456,0.8271287821709903,0.7765443403722805,0.7740537461689236,0.7483007542493844,0.7689663007054103,0.7796149236117887,0.7093886609068707,0.7846877022304785,0.8189722235901565,0.7786677679830385,0.7506101456975326,0.7746075050205558,0.7752321655631345,0.837228439863769,0.8010324071290809,0.8059273368738631,0.8170277962549619,0.7463751610086291,0.8152134845664796,0.8096286484190197,0.7922708403440659,0.8061039206896571,0.7869674802730563,0.7674982702782805,0.7996965970742822,0.7692140578420958,0.7608091460994936,0.7513754629886725,0.784335341494233,0.7843269600524783,0.7609484025148583,0.8166655991077582,0.779038231510413,0.78223050874299,0.7903484130447821,0.7800987493411323,0.8146855709921664,0.7996861220384479,0.742782652975894,0.7693050016411584,0.7678708184798712,0.7583785653938312,0.7445117496475768,0.8129605943744107,0.7827547453573617,0.8061213246297704,0.7810070211670326
PrtSpool,0.874245561988933,0.8062667288631472,0.8477576361657337,0.8293616973906845,0.8448799537409395,0.8425437126306964,0.8054387054642266,0.0,0.8349291675184525,0.8213571592594953,0.822428505286425,0.8098462133381297,0.7996302800574803,0.8351446661526564,0.8571753414384011,0.820840267761475,0.8320539695445176,0.8232262364271108,0.8129479645848655,0.8172596734081855,0.8401836228448616,0.82377482814985,0.8314433251006886,0.8366415164746243,0.8226397684786998,0.8139975746966001,0.8346398556778417,0.8354870604651405,0.7951830832918798,0.8246770144704976,0.8144505920501746,0.7863515444725391,0.7937044858665537,0.8127074587995625,0.7920471577324292,0.7382751730932019,0.8269161027959329,0.8143599707609315,0.8218605503319669,0.8087714523883626,0.8274502274399437,0.8238000964671411,0.8264775699923357,0.7906032704361663,0.7986551651866226,0.7992493705716883,0.737666155361368,0.8043022251519327,0.7851581907282988,0.8044455775864996,0.8069355235438835,0.7833676892498588,0.7893602002513515,0.821235469570856,0.7742262080089621,0.7835996743337308,0.7830519218570433,0.7701619317251388,0.8141344603819123,0.8326575231922572,0.8082046533247549,0.7915098335382179,0.7949498539386686,0.7794476573051341,0.7873377389629002,0.8218783953611005,0.8025382801757398,0.804340017300149,0.7821613139394576,0.7984390136363785,0.892729331152585,0.749255639707721,0.8216483667012756,0.8154436343213458,0.8594094183599846,0.786179927296992
PrtDriver,0.8568454659279099,0.8261296336087437,0.8043204244175385,0.8157355441209933,0.8181238105966442,0.8215453436201161,0.8673357478377793,0.8349291675184525,0.0,0.816290831926443,0.8508554733492533,0.8861433403078901,0.7920396306434395,0.8485735769223558,0.8417191027143031,0.8116924265926551,0.8197277935021757,0.8006986984257174,0.8070995483341556,0.8184990762349936,0.8353331743295608,0.837368676596942,0.7959574745563125,0.8209551530994748,0.8074176862690237,0.816088224298688,0.8244921556774524,0.8442049141599223,0.8110600497633836,0.8438089940036203,0.7993005645477256,0.811510318425956,0.781798799171926,0.8115699158639441,0.8182516311517634,0.7427345145925792,0.8187783941064513,0.8143928653534821,0.8046929261328952,0.7842258231871087,0.840950098747631,0.8289000753490974,0.8443994834127949,0.8444318901507157,0.8416485528919934,0.8671509314569871,0.7827746874919315,0.8428176981045183,0.8468831517807104,0.8107283118221815,0.831225202704636,0.8010720807766308,0.8067399026654443,0.8275158219447436,0.78660123154092,0.8060822833692666,0.803663167664888,0.8353096024032468,0.7976800003915587,0.7890448162335143,0.8287099964390431,0.8199519893884266,0.8188305594244355,0.8257130368386711,0.7873686222430998,0.828356887947465,0.8252371152259337,0.7676155086470213,0.8108138047543338,0.7760281317771309,0.7952909585450338,0.7904541071522436,0.8233414128775335,0.8096649577798898,0.8276969745320311,0.8071287245434325
GDIOUT,0.8578468813120822,0.8272799842699831,0.7809939000338331,0.8584403794501666,0.787574512051539,0.8249276781075588,0.8610884230538608,0.8213571592594953,0.816290831926443,0.0,0.800111160136356,0.7995291251940038,0.8814377732397244,0.8181659908862867,0.8518101254402966,0.8194909337294778,0.8170940210666762,0.8236467270046653,0.8059917796801809,0.8333194876528277,0.8294284922055621,0.8092625661617704,0.8492231827097376,0.8067155019294828,0.8608228750667513,0.835213447912948,0.8313202389001298,0.8213038419747635,0.7888986741719117,0.8241950155264189,0.7870719488062282,0.770292443710209,0.7746998873927922,0.7904490594482992,0.7865186124889807,0.7390148424381869,0.7588975595419227,0.8118415503004471,0.8049255070411326,0.8229630878056343,0.7912346012517142,0.8127753791714196,0.8251201955527159,0.7880853535976186,0.8050967269737362,0.8121079902480681,0.7559018175108825,0.8021842744272834,0.8125715387131062,0.8232631389396217,0.7927909387037871,0.7879090055068362,0.7588755478046831,0.8046829324539999,0.7602898176176601,0.7812744379302388,0.7764601582737836,0.7908378119539246,0.7922434569866317,0.7828771291006098,0.8041947602085858,0.7781950217574695,0.8194465006052434,0.7890256017819485,0.8070942525943747,0.8579442909893005,0.816606926880557,0.7518243532240291,0.7846400768821391,0.7940610552833327,0.7835626483834994,0.7558955064610292,0.8215378853032869,0.7792730101036832,0.8182653585407839,0.7825121827777759
